VALUE,VOLICITY,YEARS
0,0,4
0,0,6
1311.11,16,6
0,0,6
0,0,26
0,0,26
0,0,13
9.08,2,13
0,0,7
0,0,17
0,0,7
1878.88,10,13
0,0,13
95.88,20,14
0,0,9
0,0,13
0,0,6
0,7,14
0,0,7
9.07,0,9
0,0,17
0,0,14
0,0,7
0,0,17
171.59,52,13
0,0,6
97.55,3,4
33.29,12,4
0,23,6
806.95,2,6
0,0,14
0,0,11
0,0,7
0,0,6
0,0,16
0,0,6
0,0,9
0,0,7
0,0,14
0,0,9
0,6,7
0,1,13
353.74,16,9
0,0,9
0,0,14
0,0,13
0,0,18
0,0,14
0,0,7
0,0,6
190.75,5,6
0,0,12
0,0,10
0,0,17
0,0,7
0,0,6
55.33,2,5
124.19,1,6
21.32,16,6
0,0,7
0,0,5
5250.86,4,8
0,0,16
24.54,2,6
0,0,6
0,0,1
0,0,1
0,0,13
34.32,3,6
0,0,6
0,0,5
0,0,13
0,0,7
0,0,11
136.52,4,6
360.35,15,13
0,0,13
0,0,9
0,0,6
0,0,12
0,0,5
188.79,3,4
0,0,14
0,0,16
0,0,17
0,0,14
0,0,16
0,0,6
0,0,10
0,0,7
0,1,13
35.74,1,10
0,0,19
0,0,1
0,0,1
0,0,17
0,0,9
0,0,6
0,0,5
0,0,13
0,0,14
0,1,13
0,0,7
0,0,5
0,0,7
0,0,7
0,0,4
0,0,14
0,0,4
0,0,9
0,0,7
0,0,6
116.88,21,8
0,0,7
0,0,6
0,0,6
0,0,14
21.81,0,11
0,0,17
0,0,16
0,0,14
2989.52,79,5
0,0,14
0,0,14
0,0,17
0,0,9
0,0,13
0,0,6
0,0,4
0,0,6
0,0,9
0,0,13
50.43,4,5
144.74,11,16
0,0,6
0,0,8
0,0,9
0,0,14
0,0,6
0,0,6
0,0,9
0,0,6
0,0,6
34.03,0,10
13.96,0,3
0,0,17
0,0,9
2124.79,21,7
0,0,13
0,0,13
0,0,19
0,0,10
0,0,6
0,0,6
0,0,14
0,0,10
0,0,7
1571.18,9,7
0,0,5
0,0,14
0,0,8
0,0,7
0,0,7
0,0,13
0,0,9
0,0,7
0,0,14
0,0,6
0,0,26
0,0,11
0,1,13
0,0,3
0,0,14
0,0,8
10.02,2,9
0,0,26
0,0,4
0,0,10
0,0,7
0,0,7
0,0,6
0,0,13
0,0,4
0,0,9
0,0,11
0,0,6
0,0,8
0,0,3
0,0,7
0,0,16
0,0,5
0,0,9
0,0,6
0,0,7
0,0,7
0,0,5
0,0,14
0,0,14
0,0,4
0,0,5
0,0,7
0,0,6
0,0,16
0,0,6
0,0,13
0,0,4
0,0,26
0,0,13
0,0,11
0,0,14
0,1,8
0,0,14
0,0,6
0,0,7
0,0,16
0,0,7
0,0,6
0,0,6
0,0,14
0,0,8
0,0,8
155.79,1,15
0,0,12
0,0,7
0,0,5
0,0,4
0,0,6
3025.43,12,6
105.37,1,6
0,0,14
0,0,6
0,0,9
0,0,7
923.07,5,7
0,0,19
0,0,9
0,0,14
0,0,6
17.26,2,7
0,0,13
0,0,13
0,0,17
873.62,8,5
0,3,10
469.76,5,3
0,0,7
0,0,4
229.83,4,13
0,0,7
0,0,14
0,0,14
0,0,10
0,0,4
0,0,6
0,0,12
0,0,11
0,0,6
0,0,14
0,0,6
142.42,8,7
0,0,3
0,0,5
0,0,6
0,0,13
0,0,7
0,0,14
0,0,5
0,0,14
0,0,6
0,0,10
1161.8,46,5
0,0,9
0,0,9
0,0,7
0,0,6
0,0,19
0,0,13
0,0,13
0,0,13
318.61,5,8
0,0,7
0,0,13
0,0,6
0,0,5
0,0,7
0,0,9
0,0,6
0,0,9
0,0,26
0,0,7
0,0,14
0,0,6
0,0,6
0,0,6
0,0,13
0,0,13
0,0,7
13.42,3,7
387.22,7,14
0,0,4
0,0,6
0,0,4
0,0,13
0,0,11
0,0,14
0,0,6
0,0,13
556.72,2,11
0,0,7
0,0,7
0,0,14
0,0,5
0,0,13
0,0,13
0,0,13
0,4,7
0,0,9
0,0,7
0,0,6
0,0,13
0,0,5
0,0,5
0,0,7
0,0,4
0,0,7
0,0,5
0,0,12
36.69,2,6
43.63,7,13
0,0,13
0,0,5
0,0,14
0,0,14
0,0,3
0,0,8
0,0,14
0,0,6
1291.04,53,4
0,0,6
0,0,13
0,0,14
0,0,14
0,0,11
0,0,14
0,0,4
0,0,14
0,0,10
0,0,13
0,0,6
0,0,6
380.66,37,9
0,0,18
0,0,15
0,0,6
0,0,26
1130.55,5,7
0,0,14
0,0,5
0,0,6
0,0,8
0,0,14
157.62,15,4
0,0,6
0,0,6
0,0,6
0,0,10
0,0,4
0,0,13
0,0,6
1606.32,50,14
0,10,14
0,0,4
0,0,14
0,0,12
608.72,13,4
0,0,6
0,0,6
0,0,11
0,0,17
0,0,9
0,0,9
0,0,14
0,1,6
0,0,5
0,0,7
0,0,6
0,0,14
0,0,7
0,0,10
21.46,2,13
0,0,13
0,0,14
0,0,6
0,0,1
0,0,6
0,0,7
161.92,43,9
0,0,14
0,0,5
0,0,16
0,0,14
0,0,10
37.04,5,26
0,0,13
12.17,1,14
0,0,7
0,0,14
0,0,14
0,0,6
0,0,12
0,0,5
0,0,16
0,0,14
0,0,5
2086.83,16,6
0,0,13
0,0,7
0,0,13
0,0,14
0,0,13
0,0,13
0,0,6
0,0,17
0,0,17
31.73,0,7
0,0,11
0,0,7
0,0,6
0,0,6
0,0,16
0,0,4
122.4,4,7
0,0,13
0,0,7
0,0,9
0,0,4
0,0,14
0,0,14
0,0,13
0,0,6
0,0,14
0,0,7
0,0,9
103.62,3,10
0,0,7
0,0,7
0,0,6
0,0,14
0,0,6
0,0,3
14.88,4,6
0,0,14
0,0,10
0,0,14
0,0,7
0,0,13
43.93,3,14
28.48,2,8
0,0,13
0,0,7
0,0,14
0,0,4
61.25,25,14
0,0,14
0,0,10
0,0,10
205.07,58,14
279.28,9,9
0,0,7
0,0,11
1186.16,32,14
0,0,3
14.58,0,14
0,0,10
0,0,6
0,0,13
0,0,6
0,0,6
0,0,7
0,0,4
0,0,13
0,0,26
0,0,6
0,0,7
0,0,3
0,0,7
0,0,6
14.12,0,17
0,0,7
0,1,13
0,0,14
1074.45,68,6
0,0,14
0,0,4
0,0,26
0,0,8
0,0,6
0,0,14
0,0,11
0,0,6
0,0,3
0,0,6
0,0,6
0,0,9
0,0,7
1635.17,1,6
0,0,6
0,0,14
376.62,12,14
0,0,7
0,0,17
0,0,12
0,0,6
0,0,17
0,0,4
0,0,16
0,0,19
0,0,10
0,0,11
0,0,13
0,0,7
0,0,8
0,0,7
0,0,9
0,0,13
6,1,4
0,0,4
137.25,0,9
0,0,26
0,0,17
0,0,9
0,0,6
0,0,13
0,0,13
0,0,9
0,0,7
0,0,9
0,0,1
0,0,1
0,0,14
0,0,14
0,0,14
0,0,5
0,0,14
0,0,16
282.53,3,6
0,0,16
0,0,16
0,0,14
0,0,4
0,0,4
0,0,6
125.97,3,13
0,0,6
591.98,2,4
0,0,7
42.25,1,3
0,0,14
0,0,14
0,0,6
0,0,10
0,0,11
0,0,14
0,0,4
0,0,3
0,0,3
0,0,7
0,3,3
0,0,6
0,0,13
0,0,13
0,0,6
0,0,13
0,0,13
0,0,6
0,0,13
0,0,13
325.35,9,3
0,0,9
3884.4,26,13
0,0,26
0,0,10
0,0,7
0,0,7
0,0,7
0,0,6
0,0,17
0,0,17
0,0,4
0,0,14
0,0,5
0,0,12
0,0,14
0,0,9
0,0,6
0,0,6
0.16,2,7
0,0,5
9.91,2,7
0,0,12
4.89,1,13
0,0,13
0,0,6
0,0,5
0,0,5
0,0,17
32.8,1,3
0,0,6
0,0,4
0,0,14
63.52,2,13
1791.52,14,5
73.41,3,14
0,0,26
0,0,4
0,0,6
9.73,2,7
40.15,4,14
0,0,14
0,0,8
0,0,13
0,0,9
0,0,6
0,0,1
0,0,9
0,0,14
0,0,16
0,0,7
0,0,12
0,0,13
0,0,26
0,0,13
0,0,7
0,0,9
88.56,0,6
0,0,7
1486.55,11,7
0,0,3
0,0,9
922.91,10,7
1641.18,6,4
0,0,14
0,0,14
3193.44,10,5
0,0,13
0,0,16
0,0,14
0,0,7
0,0,6
0,0,6
0,0,13
0,0,17
0,0,14
0,0,11
0,0,14
0,0,26
0,0,6
0,0,6
0,0,14
0,0,7
0,0,14
0,0,6
0,0,6
0,0,6
357.85,1,9
0,0,12
0,0,7
21.58,0,13
0,0,3
0,0,13
0,0,6
0,0,11
0,0,13
0,0,6
0,0,1
0,0,8
0,0,17
0,0,7
0,0,10
0,0,3
0,0,6
0,0,4
0,0,26
0,0,7
0,0,12
0,0,5
265.64,3,14
0,1,13
0,0,6
0,0,16
133.14,5,17
0,0,17
0,0,9
53.32,3,7
0,0,6
0,0,1
0,0,16
0,0,14
0,0,26
0,0,7
0,0,6
0,0,7
149.68,1,14
0,0,16
0,0,16
0,0,6
0,0,7
0,0,7
0,0,5
0,0,8
47.99,0,14
0,0,9
0,0,10
0,0,5
0,0,14
0,0,16
0,0,7
0,0,17
0,0,7
0,0,6
0,0,9
0,0,19
0,0,14
0,0,13
0,0,6
0,0,7
0,0,6
0,0,6
35.5,1,5
0,0,11
0,0,3
0,0,4
0,0,14
0,0,5
0,0,14
0,0,7
0,0,6
0,0,6
0,0,14
0,0,7
0,0,6
37.96,2,13
0,0,26
0,0,19
0,0,16
0,0,7
0,0,6
9.49,0,14
0,0,4
0,0,7
0,0,14
0,0,9
0,0,6
0,0,1
0,0,7
0,0,7
0,0,6
0,0,16
0,0,10
0,0,4
0,0,14
505.94,12,5
0,0,6
0,0,6
0,0,7
0,0,14
0,0,7
0,0,7
0,0,10
0,0,6
0,0,4
0,0,7
1613.88,45,5
0,2,6
0,0,7
62.18,1,13
0,0,6
0,0,7
0,0,16
0,0,13
0,0,6
726.77,61,4
0,0,7
0,0,6
0,0,7
0,0,4
0,0,13
0,0,7
0,0,13
0,0,10
0,0,5
0,0,7
0,123,9
0,0,14
0,0,11
0,0,7
0,0,6
0,0,4
0,0,7
0,0,14
136.76,4,6
0,0,6
0,0,4
0,0,14
0,0,6
0,0,6
0,0,16
0,0,11
0,0,14
0,0,17
0,0,15
0,0,13
442.24,4,13
0,0,14
14.15,3,7
0,0,16
0,0,12
0,0,6
292.19,3,5
0,0,7
0,0,8
0,0,7
0,0,6
0,0,12
12.48,1,6
0,0,12
0,0,9
0,0,6
0,0,13
0,0,9
0,0,1
0,0,1
114.85,2,4
0,0,7
0,0,8
0,0,7
0,0,7
0,0,12
64.16,0,13
0,0,5
513.56,5,11
0,0,7
36.37,0,4
0,0,6
0,0,10
0,0,13
0,0,6
4.76,0,4
0,0,9
115.64,13,3
0,0,14
0,0,8
0,0,13
0,0,12
18598.2,55,17
20.31,0,14
0,0,6
0,0,6
3122.18,17,7
105.63,1,6
0,0,4
0,0,7
0,0,7
0,0,1
0,0,17
69.33,1,7
0,0,13
0,0,6
0,0,14
